Question,Options,Correct Answer
"Assume that you are a network operator, and you are allocated a frequency spectrum of",25 | 24 | 22 | 23,25
Which of the following is a key advantage of NB-IoT over traditional cellular networks?,Low Power Consumption | High Reliability | Wide Coverage Area | High Data Rates,Low Power Consumption
Which of the following is not a feature of NB-IoT?,Long Battery Life | High Receiver Sensitivity | Extended Coverage | Extended Idle Mode,Long Battery Life
What is the operating frequency of HaLow?,Sub-1 Ghz | 2.4 Ghz | 900 Hz | 5 Ghz,Sub-1 Ghz
Using which one of the following parameters will the modulation and coding scheme be,Wireless Communication technique | Data Transmission Rate | None of the options are correct | Signal to Noise Ratio,Wireless Communication technique
WiFi HaLow is also known as?,802.11f | 802.11ac | 802.11ax | 802.11ah,802.11f
Which if the following channel access technique is used in HaLow?,Carrier Sense Multiple Access with Collision Anticipation | Carrier Sense Multiple Access with Collision Prevention | Carrier Sense Multiple Access with Collision Detection | Carrier Sense Multiple Access with Collision Avoidance,Carrier Sense Multiple Access with Collision Anticipation
"The ""Data Unit"" gets larger as it goes _____ the OSI stack.",Down | crisscross | up | across,Down
What is the typical range of HaLow compared to traditional Wi-Fi?,Longer range | Unlimited range | Shorter range | Same range,Longer range
Which standard does HaLow follow for wireless communication?,802.11ah. | 802.11n | 802.11ac | 802.11b,802.11ah.
Which of the following packets help in solving the hidden node problem in 802.11 networks?,Request to Send Packet (RTS) | Clear To Send Packet (CTS) | Request to Share Packet | Clear to Share Packet | Acknowledgement Packets,Request to Send Packet (RTS)
Which of the following frames use the Null Data Packet (NDP) MAC frame structure in,RTS (Request to Send) | CTS (Clear to Send) | ACK (Acknowledgment) | Beacons | PS-Poll Frame,RTS (Request to Send)
Which of the following is included in the beacon to notify stations about the buffered frames?,Traffic Notification Map | Traffic Availability Map | Traffic Intimation Map | Traffic Indication Map (TIM),Traffic Notification Map
All 802.11 devices are compatible with each other.,False,False
Which of the frames are transmitted by the Access Point when a node is attempting to join a,Probe Request Frame | Association Request Frame,Probe Request Frame
Which of the following frames are transmitted by a node when it is attempting to join a Basic,Probe Response Frame | Association Response Frame | Probe Request Frame | Association Request Frame,Probe Response Frame
What is the main advantages of HaLow over traditional Wi-Fi technologies,Lower power consumption | Greater range | Faster speeds | Better security,Lower power consumption
Which of the following power management modes are available for stations in 802.11,Active Mode | Power Save Mode | Doze Mode | Awake Mode,Active Mode
Select the standards that are typically common across IEEE 802.,802.1 Bridging | 802.2 Logical Link Control | 802.3 Ethernet | 802.16 WiMAX | 802.17 Resilient Packet Ring,802.1 Bridging
How many overlapping WiFi channels are there for 2.4Ghz Band?,11 | 3 | 14 | 12,11
Select the true statements for WiFi,Its frequency ranges from 5Ghz to 5.15Ghz | The 2.4Ghz Band has a 150Mhz bandwidth | The 5 GHz Band has a 150 MHz bandwidth | Its frequency ranges from 2.4 GHz to 2.5 GHz,Its frequency ranges from 5Ghz to 5.15Ghz
Which of the following are advantages of using Relays in HaLow? (select the correct,"When a relay is present, the devices do not require to exchange data with the | Relays require the devices to transmit at a lower data rate thereby consuming | Relays improve reliability of data transmission. | Relays enable the devices to transmit at high data rate.","When a relay is present, the devices do not require to exchange data with the"
How does HaLow address the shortage of Duration/ID field that is required for Network,HaLow uses a mechanism called Response Indication Deferral | HaLow does not need any such mechanism as the length of the data | HaLow uses the Association ID for determining the length of the frame. | HaLow introduced the Restricted Access Window mechanism for the same.,HaLow uses a mechanism called Response Indication Deferral
Consider the following two statements and select the appropriate option below:,"Statement B is true, but Statement A is false. | Statement A is true, but Statement B is false. | Both Statements are false. | Statements A and B are true.","Statement B is true, but Statement A is false."
What is a characteristic of BLE 'Advertising' mode?,Device discovery and connection establishment | Secure data encryption. | High data transfer rate. | Long-range communication.,Device discovery and connection establishment
Which feature distinguishes BLE from Classic Bluetooth?,Lower energy consumption | Higher data transfer rates. | Longer range. | Better audio quality.,Lower energy consumption
Which of the following supports low energy radio operation. / What does BLE stand for?,Bluetooth Low Energy | Bluetooth Long Engagement | Basic Link Encryption | Bluetooth Low Efficiency,Bluetooth Low Energy
Which of the following supports low energy radio operation.,BLE | WiFi | HaLow | Bluetooth,BLE
Which frequency band does BLE operate in?,2.4 GHz. | 433 MHz | 5.0 GHz | 868 MHz | 915 MHz,2.4 GHz.
"In BLE terminology, what is a 'GATT'?",Generic Attribute Profile,Generic Attribute Profile
What is the maximum data rate of latest BLE?,2 Mbps. | 3 Mbps | 4 Mbps5 | 1 Mbps,2 Mbps.
What is the range typically achievable with BLE technology?,Up to 100 meters. | Up to 150 meters | Up to 50 meters | Up to 10 meters,Up to 100 meters.
Which version of Bluetooth introduced BLE?,Bluetooth 4.0. | Bluetooth 3.0 | Bluetooth 5.0 | Bluetooth 2.0,Bluetooth 4.0.
Which of the following scheme is used by Bluetooth?,Frequency hopping TDD scheme | DSSS TDD scheme | DSSS FDD scheme | Pyramid scheme | Frequency hopping FDD scheme | ABCDEFG scheme | VWXYZ scheme,Frequency hopping TDD scheme
"In BLE, what is the role of a 'Central' device?",It connects to and controls peripheral devices | It acts as an intermediary between two devices. | It only receives data. | It broadcasts data to peripheral devices.,It connects to and controls peripheral devices
Which of the following Topology does Bluetooth 4.0 support? Use SS,Star | Scatter Net | Mesh | Ring,Star
BLE supports which kind of communication topology? Use StaMP,Point-to-Point | Star | Mesh | Bus,Point-to-Point
"If the hopping time, assuming FHSS, is equal to 500μs, how many times would the signal",2000 | 1750 | 1500 | 2500 | 2250,2000
What does 'Pairing' in BLE involve?,Exchanging security keys for secure communication. | Broadcasting data to multiple devices. | Adjusting the power level for optimal connection. | Connecting two devices for data transfer.,Exchanging security keys for secure communication.
"If the number of carrier frequencies is equal to 25, how many outputs bits must be",5,5
Bluetooth is designed for short broadcast. There are forty 2-Mhz channels. How many of,3,3
Assume Bob can send 300 bits in one slot while using Bluetooth. How many slots does it,3,3
Assume Bob can send 300 bits in one slot while using Bluetooth. How many slots does it,5,5
The full form of 6LoWPAN is …,IPv6 over Low-Power Wireless Personal Area Networks | 6 Low Power Wide Personal Area Network | IPv6 over Low-Power Wide Area Networks | 6 Low Power Wireless Personal Area Network,IPv6 over Low-Power Wireless Personal Area Networks
Which type of modulation is used in IEEE 802.15.4?,Direct Sequence Spread Spectrum (DSSS) | Frequency Shift Keying (FSK) | Phase-Shift Keying (PSK) | Orthogonal Frequency-Division Multiplexing (OFDM),Direct Sequence Spread Spectrum (DSSS)
6LowPAN technology sits on top of …,IEEE 802.15.4 | Anything within IEEE 802 | IEEE 802.15.11 | IEEE 802.15.16,IEEE 802.15.4
6LowPAN uses traditional IPv6 as its networking layer.,False,False
Which of the following are not true about 6LowPAN?,6LoWPAN is based on IPv4 and IPv6 protocols for transmitting packets | None of the statements are false. | 6LoWPAN is a networking layer protocol for Internet of Things | 6LoWPAN has the capability of optional mesh routing in the data link layer,6LoWPAN is based on IPv4 and IPv6 protocols for transmitting packets
Which of the following is NOT true about Border Routers in a Thread Network?,There cannot be more than 3 border routers in a Thread Network | Border Router provide services to devices within the Thread Network only. | Border Router can provide connectivity from Thread Network to 802.11 networks. | A REED can be configured as a Border Router in the Thread Network.,There cannot be more than 3 border routers in a Thread Network
"If the 16-bit address assigned to a device in a 6LowPAN network is 4EA1, what is the IPv6",FE80::4EA1 | FE80:4EA1::0 | FE80::1111:4EA1 | PAN ID is unknown,FE80::4EA1
"If the 16-bit address assigned to a device in a 6LowPAN network is 4EA1, what is the IPv6",FE80::5678:4EA1 | FE80::4EA1 | FE80:5678:4EA1::0 | FE80:5678::4EA1,FE80::5678:4EA1
What does IEEE 802.15.4 primarily focus on?,Low-rate wireless personal area networks | Long-range wireless communication | High-bandwidth local area networking | High-speed internet connectivity,Low-rate wireless personal area networks
6LowPAN is the same as IEEE802.15.4,False,False
"The size of MTU for an 802.15.4 network is equal to 127 bytes. Of which, 802.15.4 header",All of the above | 71 | 80 | 120 | 127,All of the above
Which of the following is true about Thread Network?,None of the above | IPV6 ULA address is used for mesh establishment and link maintenance. | Every Thread device is assigned only one Mesh local address. | Thread enables full mesh connectivity between all the devices in the network. | A thread network can employ more 10 routers in the network.,None of the above
IEEE 802.15.4 is a basis for which popular IoT communication protocol?,ZigBee | Thread | LTE | Bluetooth,ZigBee
Which of the following frames are required to be transmitted using CSMA/CA?,Data Frames | All the mentioned frames | Beacons | Acknowledgements,Data Frames
What kind of network topology is supported by IEEE 802.15.4?,Point-to-Point | Star | Mesh | Bus,Point-to-Point
IEEE 802.15.4 defines the operation of which network layers?,Physical (PHY) | Data Link Layer | Application Layer | Session Layer | Transport Layer | Network Layer,Physical (PHY)
"If the EUI64 address of a device is 62::1, what would be its link local IPv6 address. Assume",FE80:0:0:0:22::1 | FE80:0:0:0:66::1 | None of answer mentioned | FE80:0:0:0:62::1 | FE80:0:0:0:60::1,FE80:0:0:0:22::1
Which of the following is not a characteristic of Thread?,Devices can easily join the network | All the options are characteristics of Thread. | Thread can support large networks. | The range of the network is more than enough to cover a home. | There is no single point of failure.,Devices can easily join the network
Which of the following are used by IEEE 802.15.4?,Direct Sequence Spread Spectrum | CSMA with Collision Avoidance | CSMA with Collision Detection | Frequency Hopping Spread Spectrum,Direct Sequence Spread Spectrum
Which of the following phases are required for a device to re-attach to a Thread Network?,Attaching | Commissioning | Configuring | Discovery,Attaching
"Consider an IEEE 802.15.4 network using Beacon-enabled CSMA/CA. Given this, choose",Contention Access Period is reserved for real-time services. | Contention Free Period uses slotted CSMA. | A part of the beacon interval is busy as coordinator requires it to send out MAC | Contention Access Period is reserved for real-time services. | Devices can sleep during the inactive interval of the beacon interval. | Contention Access Period uses slotted CSMA.,Contention Access Period is reserved for real-time services.
Which of the following Full Thread Devices have routing capabilities? (You can select more,Router | Router Eligible End Device | Leader | PAN coordinator | Intermediate Routing Device | Full End Device,Router
Assume that a user wants to transmit bit 1 using Direct Sequence Spread Spectrum. The,010100101100,010100101100
Assume that a user wants to transmit bit 0 using Direct Sequence Spread Spectrum. The,011011000101,011011000101
Assume Bob is using DSSS to transmit his data to Alice. Bob decided to use the chipping,600,600
Assume Bob is using DSSS to transmit his data to Alice. Bob decided to use the chipping,30,30
What is the purpose of Zigbee communication?,All of the above | Industrial Control | Healthcare | Home Automation,All of the above
Zigbee have a transport layer.,False,False
Which of the following is not a feature of Zigbee? (choose the best one),Large bandwidth | Low Power Consumption | High Security | Real-time Communication,Large bandwidth
Which frequency does Z-Wave operate on?,868 mHz | 5 Ghz | 2.4 Ghz | 915 Mhz,868 mHz
Which if the following do not contribute in routing in a ZigBee network?,zigBee end device | ZigBee Router | ZigBee Coordinator | ZigBee Master,zigBee end device
Which network topology is not supported by ZigBee?,Bus | Mesh | Cluster Tree | Star,Bus
Z-Wave is an implementation of a ZigBee protocol.,False,False
What is the role of Zigbee coordinator in the Zigbee network?,Both | None | Controls the network | Communicates with other nodes,Both
What is the role of Zigbee routers in the Zigbee network?,Act as a relay between other nodes | Controls the network | Both | None,Act as a relay between other nodes
What is the role of Zigbee end devices in the Zigbee network?,Communicates with other nodes | Controls the network | Both | None,Communicates with other nodes
"Which of the following is needed to be a ""ZigBee Compliant Product”",Application Profile | IEEE 802.15.4 | ZigBee Stack | IEEE 802.11,Application Profile
LoRaWAN's network server is responsible for:,Processing and forwarding data to application servers | Managing the radio frequency spectrum | Directly interacting with end-user applications | Controlling the power output of end devices,Processing and forwarding data to application servers
What is the main function of the Device EUI in LoRaWAN?,To identify the device uniquely on the network | To define the device's operating frequency | To specify the data rate | To encrypt data,To identify the device uniquely on the network
What type of modulation is used in LoRa?,Chirp Spread Spectrum (CSS) | Amplitude Modulation (AM) | Phase-Shift Keying (PSK) | Frequency Shift Keying (FSK) | Long range | Long Radio | Low Range | Long Resonance,Chirp Spread Spectrum (CSS)
Link Budget …,refers to the amount of loss that a data link (transmitter to receiver) can tolerate in | refers to a connection between two entities. | refers to the amount of loss that a data link (transmitter to receiver) should have. | refers to the difference between the minimum expected power received at the,refers to the amount of loss that a data link (transmitter to receiver) can tolerate in
LoRa's spreading factor affects which of the following?,Data rate and range | Power consumption only | Modulation technique | Operating frequency,Data rate and range
What does LoRaWAN stand for?,Long range Wide Area Network | Low Radiation Wireless Access Network | Low Range Wide Area Network | Logical Routing WAN,Long range Wide Area Network
"In LoRa, which class does the following end device fall under:",B | D | C | A,B
"In LoRa, what does increasing the spreading factor (SF) do to the signal's range and data",Increases range and decreases data rate | Decreases both range and data rate | Increases range and data rate | Decreases range and increases data rate,Increases range and decreases data rate
LoRa modulation a variation of ....,Chirp Spread Spectrum | Chirp Spectrum Sector | Chord Space Spectrum | Chord Spread Spectrum,Chirp Spread Spectrum
Which Sub-GHz ISM frequency does LoRa operate in Singapore?,923 Mhz | 466 Mhz | 868 Mhz | 2.4 Ghz,923 Mhz
Which class of LoRaWAN is designed for bidirectional end-devices with scheduled receive,Class B | Class C | Class D | Class A,Class B
Which Class of LoRaWAN is best suited for applications requiring minimal latency?,Class C | Class B | Class D | Class A,Class C
What is the main drawback of using LoRa for IoT applications?,Limited data rate | High power consumption | Long range | Short range,Limited data rate
What is the main advantages of using LoRa for IoT applications?,Low power consumption | Long range | Low data rate | High data rate,Low power consumption
LoRaWAN modulation technique sits at which OSI layer?,DATALINK | PHYSICAL | Application | Session | Transport | Network | Presentation,DATALINK
LoRa is primarily used for?,"Long-range, low-power communication | High-speed data transmission | Audio and video transmission | Short-range communication | PHYSICAL | Application | Datalink | Session | Transport | Network | Presentation","Long-range, low-power communication"
"In a distributed mesh network, how are routes between nodes established?","Nodes communicate to determine adjacency and routes (CORRECT) | Through a central authority | All communication goes through a master node | Using a single, static route",Nodes communicate to determine adjacency and routes (CORRECT)
What does Adaptive Flooding adjust based on?,Network conditions and resource availability (CORRECT) | The time of day | Static configurations | Number of connected nodes,Network conditions and resource availability (CORRECT)
Which of the following is not a PROACTIVE mesh routing algorithm? Use DyAT,Wireless Routing Protocol | Better Approach To Mobile Adhoc Networking | Optimized Link State Routing | Destination-Sequenced Distance Vector | Dynamic Source Routing (CORRECT) | Ad hoc On-Demand Distance Vector (CORRECT) | Temporally-Ordered Routing Algorithm (CORRECT),Wireless Routing Protocol
Which of the following is not a REACTIVE mesh routing algorithm? Use DeWOB,"Ad hoc On-Demand Distance Vector (AODV) is a reactive protocol, not proactive | Dynamic Source Routing (DSR) is a reactive protocol, not proactive | Temporally-Ordered Routing Algorithm (TORA) is generally classified as a reactive | Destination-Sequenced Distance Vector (CORRECT) | Better Approach To Mobile Adhoc Networking (CORRECT) | Optimized Link State Routing (CORRECT) | Wireless Routing Protocol (CORRECT)","Ad hoc On-Demand Distance Vector (AODV) is a reactive protocol, not proactive"
Which characteristic is not a feature of wireless mesh networking?,Centralized architecture (CORRECT) | Scalability | Self-healing | Efficient data routing,Centralized architecture (CORRECT)
Optimized Link State Routing Protocol uses triggered updates of their routing table,False (CORRECT),False (CORRECT)
The Optimized Link State Routing (OLSR) protocol uses ______ to optimize,Single point relays | Dual point relays | No relays | Multipoint relays (CORRECT),Single point relays
Which is not a challenge mentioned for wireless mesh networks?,Unlimited bandwidth (CORRECT) | Inteference and Reliability | Timing and Sybnchronisation | Bandwidth allocation,Unlimited bandwidth (CORRECT)
What is a typical method to prevent malicious nodes from joining a wireless mesh,Authentication (CORRECT) | Redundancy | Decreasing signal strength | Ignoring new nodes,Authentication (CORRECT)
Dynamic Source Routing have multiple routes per destination,True (CORRECT),True (CORRECT)
Which flooding algorithm divides the network into subnets for routing?,Reduced Flooding (CORRECT) | Selective Flooding | Adaptive Flooding | Simple Flooding,Reduced Flooding (CORRECT)
"In the context of mesh networks, what does the term 'self-healing' refer to?",The process of adding new nodes to the network | Healing of hardware issues without human intervention | The network's ability to automatically reroute data if a node fails (CORRECT) | The ability to manually repair physical damage,The process of adding new nodes to the network
What is the primary feature of a wireless mesh network?,Single-hop communication | Centralized architecture | Limited to indoor use only | Decentralized architecture (CORRECT),Single-hop communication
What is the primary role of a RESTful API's Uniform Interface constraint?,To standardize the way clients interact with the server | To define specific operations like GET and POST | To ensure that the API is stateful | To separate client and server implementations,To standardize the way clients interact with the server
What mechanism does RESTful APIs use to indicate the current state of the resource?,HTTP status codes | HTTP headers | API tokens | Response body,HTTP status codes
"In RESTful APIs, what is used to uniquely identify a resource?",URI (Uniform Resource Identifier) | Query parameters | API key | Session ID,URI (Uniform Resource Identifier)
Which of the following is NOT a constraint of RESTful architecture?,Cookie-based authentication | Statelessness | Cacheability | Client-server architecture,Cookie-based authentication
"In RESTful APIs, what is the purpose of a payload in a POST request?",To contain the data being sent by the client | To provide additional headers | To carry control information | To deliver the client's request to the server,To contain the data being sent by the client
What does idempotence mean in the context of RESTful APIs?,The API produces the same result no matter how many times the same request is | The API produces different results with each request | The API encrypts data for security,The API produces the same result no matter how many times the same request is
Which of the following HTTP methods is used to retrieve a resource in RESTful architecture?,GET | PUT | DELETE | POST,GET
Which HTTP method should be used to update an existing resource in RESTful web,PUT | GET | DELETE | POST,PUT
What is a resource in the context of RESTful web services?,An entity that can be accessed and manipulated through a URI | A container for storing data in a web application | A set of procedures for accessing a database | A function that performs a specific action,An entity that can be accessed and manipulated through a URI
"In RESTful APIs, what does a status code in the 5xx range signify?",Server error | Redirection | Successful operation | Client error,Server error
What is the HTTP method used to create a new resource in RESTful architecture?,POST | GET | PUT | DELETE,POST
What does REST stand for?,Representational State Transfer | Real-time State Transfer | Relative State Transmission | Remote Server Transaction,Representational State Transfer
Which HTTP status code indicates a successful GET request in a RESTful API?,200 OK | 201 Created | 400 Bad Request | 500 Internal Server Error,200 OK
What type of architecture does RESTful APIs follow?,Client-server architecture | Microservices architecture | Peer-to-peer architecture | Monolithic architecture | Publisher-Subscriber architecture,Client-server architecture
MQTT is _______ oriented.,Message | Network | Device | Data,Message
CoAP supports which of the following methods similar to HTTP?,"GET, POST, PUT, DELETE | None of them | OPTIONS, HEAD | CONNECT, TRACE, PATCH","GET, POST, PUT, DELETE"
What is the maximum number of clients that can subscribe to a single topic in MQTT?,Unlimited | 100 | 1 | 10,Unlimited
What transport layer protocol does CoAP use?,UDP | ICMP | TCP | REST,UDP
What type of protocol is MQTT?,Application protocol | Presentation protocol | Transport protocol | Network protocol,Application protocol
CoAP is specialized in?,Internet Application (CORRECT) | Wireless applications | Device applications | Wired applications,Internet Application (CORRECT)
CoAP is a specialised _________ protocol.,Application | Resource | Web transfer | Power | Uses PUT message requests to create subscription | Uses GET message requests to retrieve subscription | Uses FETCH message requests to retrieve subscription. | Uses PUSH message requests to create subscription. | Resource-constrained networks | Local Area Networks (LAN) | Datacenter Networks | Wide Area Networks (WAN),Application
Which protocol is CoAP closely modeled after?,HTTP | FTP | AMQP | MQTT,HTTP
MQTT uses the publish/subscribe model. How does the publisher know who is,"The publisher doesn't know | The subscriber informs the publisher | The publisher gets notified when they subscribe. | Publisher uses the ""Eye of Sauron""",The publisher doesn't know
The Last Will Message is used to:,Notify clients of a failure in the publisher | Guarantee that the message was delivered | Gain inheritance | Notify a publisher of a network failure,Notify clients of a failure in the publisher
Which of the following is not a characteristic of MQTT?,Request/response messaging model | Publish/subscribe messaging model | Quality of Service (QoS) | Low overhead,Request/response messaging model
CoAP provides which of the following requirements?,"Multicast support, lower overhead and simplicity | Multicast support and simplicity | Lower overhead and multicast support | Simplicity and low overhead","Multicast support, lower overhead and simplicity"
Which of the following is not a client type in MQTT?,Producer | Publisher | Subscriber | Broker,Producer
MQTT transmits data to and from a broker in which format. (Choose the best option),Binary data | JSON | XML | Text based data,Binary data
Which layer is CoAP?,Application layer | Transport layer | Service layer | Control layer,Application layer
To receive a retained message?,You must subscribe to a topic that has been published with the retained message | You must keep the message. | You must subscribe with the retained message set. | You must subscribe with a QOS of 1 or 2,You must subscribe to a topic that has been published with the retained message
What does CoAP stand for?,Constrained Application Protocol | Control Application Protocol | Common Application Protocol | Compact Application Protocol,Constrained Application Protocol
Which of the following QoS levels in MQTT ensures message delivery at least once?,QoS 1 | QoS 2 | QoS 0 | None of them.,QoS 1
What is a topic in MQTT?,A string used to filter messages in a publish/subscribe model | A unique identifier for a message | A client identifier | A message payload,A string used to filter messages in a publish/subscribe model
The core of the protocol is specified in _____?,RFC 7252 | RFC 7254 | RFC 7524 | RFC 7452,RFC 7252
What does MQTT stand for?,Message Queuing Telemetry Transport | Message Queuing Transaction Transport | Message Querying Telecommunication Transmission | Message Quorum Transport Technology,Message Queuing Telemetry Transport
CoAP messages can be of which types?,Confirmable and Non-Confirmable | Synchronous and Asynchronous | Persistent and Transient | Request and Response,Confirmable and Non-Confirmable
CoAP Protocol is comprised of which sub-layers?,Observation | Message | Request & Response | UDP,Observation
What is the default port number for MQTT?,1833 (CORRECT) Note: by right should be 1883 but might be typo please look out | 80 | 8080 | 8883,1833 (CORRECT) Note: by right should be 1883 but might be typo please look out
IIoT stands for Industrial IoT.,True,True
Which of the following is NOT an advantage of Edge Computing?,Significantly reduced data storage requirements | Faster response time | Reduces Network Bandwidth Requirements | Low investment cost (CORRECT),Significantly reduced data storage requirements
"Base on the lecture, which of the following is NOT an advantage of Cloud Computing?",Resilient | Integration (CORRECT) | Management | Virtualisation,Resilient
Match the Edge computing platforms to how they perform inferencing on the device.,CPU-centric →  Raspberry Pi | GPU-centric →  NVIDIA Jetson,CPU-centric →  Raspberry Pi
"Based on the lecture, which of the following is not a typical deployment challenge for",Sound proofing (CORRECT) | Waterproofing | Power | Thermal,Sound proofing (CORRECT)
What is IaaS?,Infrastructure as a Service (CORRECT) | Interaction as a Service | Intelligence as a Service | Internet as a Service,Infrastructure as a Service (CORRECT)
Which of the following is a good example of an AIoT application?,A smart home thermostat that learns your preferences over time (CORRECT) | A wearable device that tracks your steps and calories burned,A smart home thermostat that learns your preferences over time (CORRECT)
Which of the following is not a benefit of AIoT? (pick the best answer),Decreased complexity (CORRECT) | Improved energy efficient | Enhanced Security | Increased productivity,Decreased complexity (CORRECT)
What is Cloud Computing?,It is a way to access software and services over the internet. (CORRECT) | It is a way to store data on your local computer. | It is a way to physically connect multiple computers together. | It is a way to protect data from unauthorized access.,It is a way to access software and services over the internet. (CORRECT)
Which if the following statement is FALSE?,Type 2 Hypervisor are also known as Bare metal hypervisor. (CORRECT) | Type 1 Hypervisor are also known as Bare metal hypervisor. | Type 2 Hypervisor use host OS. | Type 1 Hypervisor do not use host OS.,Type 2 Hypervisor are also known as Bare metal hypervisor. (CORRECT)
Which of the following is not a potential use case for AIoT in industrial automation?,Employee time tracking (CORRECT) | Quality control | Inventory management | Predictive maintenance,Employee time tracking (CORRECT)
Which of the following is a limitation of AIoT?,It is limited by the processing power of IoT devices (CORRECT) | It can be expensive to implement | It is only suitable for large-scale applications | It requires a high degree of technical expertise to implement,It is limited by the processing power of IoT devices (CORRECT)
Which if the following is TRUE about Fog Computing?,"Cloud is a centralized system, while the fog is a distributed decentralized | Fog provides low latency (CORRECT) | Fog computing are located nearer to the Cloud computing | Fog computing is a separate architecture that can replace cloud computing.","Cloud is a centralized system, while the fog is a distributed decentralized"
Match the following services to the components that are NOT managed by the Cloud,"On Premises → 1. Networking, Storage, Servers, Virtualization, OS, Middleware, | IaaS → 2. OS, Middleware, Runtime, Data and Applications | PaaS →  3. Data and Applications | SaaS → 4. Nil","On Premises → 1. Networking, Storage, Servers, Virtualization, OS, Middleware,"
Which of the following is a benefit of cloud computing?,Correct Answer: Lower maintenance costs | Higher upfront costs | Limited data accessibility | Limited scalability,Correct Answer: Lower maintenance costs
AIoT stands for?,Artificial Intelligence on IoT | Artificial Internet of Things | Advanced IoT | Artificial Intelligence of Things,Artificial Intelligence on IoT
Which if the following is NOT a Cloud Service Model?,Platform as a Service | Infrastructure as a Service | Virtualization as a Service (CORRECT | Software as a Service,Platform as a Service
What is the name of the cloud service model that provides access to software,Software as a Service(SaaS) (CORRECT) | Function as a Service (FaaS) | Infrastructure as a Service (IaaS) | Platform as a Service (PaaS),Software as a Service(SaaS) (CORRECT)
What is the purpose of AIoT?,To replace IoT devices with AI-powered devices | To improve the design of IoT devices | To create a secure network for IoT devices | To integrate artificial intelligence with the internet of things,To replace IoT devices with AI-powered devices
