Chapter,Question_No,Question,Options,Correct Answer
Chapter 2 - Narrow Band IOT,7,"Consider the following two statements and select the appropriate option below: Statement A: NB-IoT requires the device to connect to an operator network via licensed or unlicensed spectrum. The spectrum in which the devices are transmitting information does not matter if the eNodeB (i.e., the 4G cellular tower) is aware of the same. Statement B: Unlike normal LTE devices, NB-IoT devices need not listen to paging regularly. In fact, it is okay even if these devices do not listen to paging for a whole day as well.","Both Statements are false.|Statement A is true, but Statement B is false.|Statements A and B are true.|Statement B is true, but Statement A is false.",Both Statements are false.
Chapter 2 - Narrow Band IOT,8,"Assume that you are a network operator, and you chose to implement TDMA as the multiple access scheme. How much bandwidth is required to support 10 users if each user requires a bandwidth equal to 400kHz. Assume that the bandwidth of the guard band on each side of the spectrum must be equal to 50kHz.",500kHz|400kHz|4000kHz|4100kHz,500kHz
Chapter 2 - Narrow Band IOT,9,"Assume that the subcarrier band size has been increased from 15kHz to 25kHz. Using this information, calculate how much would be the bandwidth of one physical resource block. Select which of the following is the answer:",300kHz|375kHz|500kHz|250kHz,300kHz
Chapter 2 - Narrow Band IOT,10,Which network element is responsible for interfacing NIDD with IoT application servers in NB-IoT?,EPC|S-GW|MME|SCEF,SCEF
Chapter 2 - Narrow Band IOT,11,"A network manager chose to use QPSK (Quadrature Phase Shift Keying) as the modulation scheme for the NB-IoT network. Given this scenario, select how many bits can an NB-IoT transmit at any given point of time. (Select only the possible option)",None of the above|Two bits|Only one bit|All of the above|Three bits,None of the above
Chapter 2 - Narrow Band IOT,12,Which factors determine the bit rate of a communication system?,The type of modulation and the size of the communication channel|The modulation scheme and the symbol rate|The noise level and the power of the transmitted signal|The carrier frequency and the signal bandwidth,The modulation scheme and the symbol rate
Chapter 2 - Narrow Band IOT,13,NB-IoT is introduced in which of the following standards?,LTE – NB Advanced|LTE – Advanced Pro|LTE|LTE – Advanced,LTE – Advanced Pro
Chapter 2 - Narrow Band IOT,14,Which of the following is NOT a mode of operations for NB-IoT?,Out-Band|Stand Alone|Guard band|In-Band,Out-Band
Chapter 2 - Narrow Band IOT,15,"Which of the following codes, used in CDMA, are considered orthogonal codes?","All of the above|<0,0,1,1> and <1,0,1,0>|<0,1,0,1> and <1,0,0,1>|<0,1,0,1> and <1,0,1,0>","<0,1,0,1> and <1,0,1,0>"
Chapter 2 - Narrow Band IOT,16,Assume NB-IoT scenario and calculate the minimum transmit power for a link budget equal to 170dB and receiver sensitivity equal to -150dBm. Enter the numerical number only in dBm.,20,20
Chapter 2 - Narrow Band IOT,17,"Which of the following features of NB-IoT reduces power consumption by allowing devices to ""sleep"" for extended periods?",NIDD|PSM|VoLTE|eDRX,PSM
Chapter 2 - Narrow Band IOT,18,Why is HTTP not always suitable for IoT devices?,It is not an IP-based protocol|It is incompatible with IoT hardware|It lacks support for small data transfers|It has high overhead and power consumption,It has high overhead and power consumption
Chapter 2 - Narrow Band IOT,19,"Assume that you are a network operator, and you are allocated a frequency spectrum of bandwidth equal to 1000kHz for carrying out cellular operation. You chose to implement FDMA as the multiple access scheme. How many users can you support if each user requires a bandwidth equal to 40kHz. Assume that the bandwidth of the guard band on each side of the spectrum must be equal to 50kHz.",25|24|22|23,22
Chapter 2 - Narrow Band IOT,20,Which of the following is a key advantage of NB-IoT over traditional cellular networks?,Low Power Consumption|High Reliability|Wide Coverage Area|High Data Rates,Low Power Consumption
Chapter 2 - Narrow Band IOT,21,Which of the following is not a feature of NB-IoT?,Long Battery Life|High Receiver Sensitivity|Extended Coverage|Extended Idle Mode|Chapter 3 - Wifi & HaLow,High Receiver Sensitivity
Chapter 3 - Wifi & HaLow,1,What is the operating frequency of HaLow?,Sub-1 Ghz,Sub-1 Ghz
Chapter 3 - Wifi & HaLow,2,Using which one of the following parameters will the modulation and coding scheme be decided?,Wireless Communication technique|Data Transmission Rate|None of the options are correct|Signal to Noise Ratio,Signal to Noise Ratio
Chapter 3 - Wifi & HaLow,4,Which if the following channel access technique is used in HaLow?,Carrier Sense Multiple Access with Collision Anticipation|Carrier Sense Multiple Access with Collision Prevention|Carrier Sense Multiple Access with Collision Detection|Carrier Sense Multiple Access with Collision Avoidance,Carrier Sense Multiple Access with Collision Avoidance
Chapter 3 - Wifi & HaLow,5,"The ""Data Unit"" gets larger as it goes _____ the OSI stack.",Down|crisscross|up|across,Down
Chapter 3 - Wifi & HaLow,6,What is the typical range of HaLow compared to traditional Wi-Fi?,Longer range|Unlimited range|Shorter range|Same range,Longer range
Chapter 3 - Wifi & HaLow,8,Which of the following packets help in solving the hidden node problem in 802.11 networks? (You can select more than one answer),Request to Send Packet (RTS)|Clear To Send Packet (CTS)|Request to Share Packet|Clear to Share Packet|Acknowledgement Packets,Request to Send Packet (RTS);;Clear To Send Packet (CTS)
Chapter 3 - Wifi & HaLow,14,Which of the following frames use the Null Data Packet (NDP) MAC frame structure in 802.11ah? (You can select more than one),RTS (Request to Send)|CTS (Clear to Send)|ACK (Acknowledgment)|Beacons|PS-Poll Frame,RTS (Request to Send);;CTS (Clear to Send);;ACK (Acknowledgment)
Chapter 3 - Wifi & HaLow,9,Which of the following is included in the beacon to notify stations about the buffered frames?,Traffic Notification Map|Traffic Availability Map|Traffic Intimation Map|Traffic Indication Map (TIM),Traffic Indication Map (TIM)
Chapter 3 - Wifi & HaLow,10,All 802.11 devices are compatible with each other.,FALSE,FALSE
Chapter 3 - Wifi & HaLow,11,Which of the frames are transmitted by the Access Point when a node is attempting to join a Basic Service Set using active scanning? (You can select more than one),Probe Request Frame|Association Request Frame|Probe Response Frame|Association Response Frame,Probe Response Frame;;Association Response Frame
Chapter 3 - Wifi & HaLow,12,Which of the following frames are transmitted by a node when it is attempting to join a Basic Service Set using passive scanning? (You can select more than one),Probe Response Frame|Association Response Frame|Probe Request Frame|Association Request Frame,Association Request Frame
Chapter 3 - Wifi & HaLow,13,What is the main advantages of HaLow over traditional Wi-Fi technologies,Lower power consumption|Greater range|Faster speeds|Better security,Lower power consumption;;Greater range
Chapter 3 - Wifi & HaLow,15,Which of the following power management modes are available for stations in 802.11 networks? (You can choose more than one answer),Active Mode|Power Save Mode|Doze Mode|Awake Mode,Active Mode;;Power Save Mode
Chapter 3 - Wifi & HaLow,17,How many overlapping WiFi channels are there for 2.4Ghz Band?,11|3|14|12,11
Chapter 3 - Wifi & HaLow,18,Select the true statements for WiFi,Its frequency ranges from 5Ghz to 5.15Ghz|The 2.4Ghz Band has a 150Mhz bandwidth|The 5 GHz Band has a 150 MHz bandwidth|Its frequency ranges from 2.4 GHz to 2.5 GHz,The 5 GHz Band has a 150 MHz bandwidth;;Its frequency ranges from 2.4 GHz to 2.5 GHz
Chapter 3 - Wifi & HaLow,19,Which of the following are advantages of using Relays in HaLow? (select the correct answers),"When a relay is present, the devices do not require to exchange data with the Root Access point.|Relays require the devices to transmit at a lower data rate thereby consuming low power|Relays improve reliability of data transmission.|Relays enable the devices to transmit at high data rate.",Relays improve reliability of data transmission.;;Relays enable the devices to transmit at high data rate.
Chapter 3 - Wifi & HaLow,20,How does HaLow address the shortage of Duration/ID field that is required for Network Allocation Vector?,HaLow uses a mechanism called Response Indication Deferral|HaLow does not need any such mechanism as the length of the data payload is fixed.|HaLow uses the Association ID for determining the length of the frame.|HaLow introduced the Restricted Access Window mechanism for the same.,HaLow uses a mechanism called Response Indication Deferral
Chapter 3 - Wifi & HaLow,21,Consider the following two statements and select the appropriate option below: Statement A: Centralized and Distributed Authentication Control are introduced in HaLow to overcome collisions between the devices in the network. Statement B: HaLow introduced mechanisms to limit the set of devices accessing the channel and to spread their access attempts over a long period of time,".Statement B is true, but Statement A is false.|Statement A is true, but Statement B is false.|Both Statements are false.|Statements A and B are true.","Statement B is true, but Statement A is false."
Chapter 4 - Bluetooth,1,What is a characteristic of BLE 'Advertising' mode?,Device discovery and connection establishment|Secure data encryption.|High data transfer rate.|Long-range communication.,Device discovery and connection establishment
Chapter 4 - Bluetooth,2,Which feature distinguishes BLE from Classic Bluetooth?,Lower energy consumption|Higher data transfer rates.|Longer range.|Better audio quality.,Lower energy consumption
Chapter 4 - Bluetooth,3,Which of the following supports low energy radio operation. / What does BLE stand for?,Bluetooth Low Energy|Bluetooth Long Engagement|Basic Link Encryption|Bluetooth Low Efficiency,Bluetooth Low Energy
Chapter 4 - Bluetooth,4,Which of the following supports low energy radio operation.,BLE|WiFi|HaLow|Bluetooth,BLE
Chapter 4 - Bluetooth,6,"In BLE terminology, what is a 'GATT'?",Generic Attribute Profile,Generic Attribute Profile
Chapter 4 - Bluetooth,7,BLE is particularly designed for:,"Short-range, low-power communication.|High-speed data transfer.|Long-distance communication.|Audio streaming.","Short-range, low-power communication."
Chapter 4 - Bluetooth,8,What is the maximum data rate of latest BLE?,2 Mbps.|3 Mbps|4 Mbps5|1 Mbps,2 Mbps.
Chapter 4 - Bluetooth,9,What is the range typically achievable with BLE technology?,Up to 100 meters.|Up to 150 meters|Up to 50 meters|Up to 10 meters,Up to 100 meters.
Chapter 4 - Bluetooth,10,Which version of Bluetooth introduced BLE?,Bluetooth 4.0.|Bluetooth 3.0|Bluetooth 5.0|Bluetooth 2.0,Bluetooth 4.0.
Chapter 4 - Bluetooth,11,Which of the following scheme is used by Bluetooth?,Frequency hopping TDD scheme|DSSS TDD scheme|DSSS FDD scheme|Pyramid scheme|Frequency hopping FDD scheme|ABCDEFG scheme|VWXYZ scheme,Frequency hopping TDD scheme
Chapter 4 - Bluetooth,12,"In BLE, what is the role of a 'Central' device?",It connects to and controls peripheral devices|It acts as an intermediary between two devices.|It only receives data.|It broadcasts data to peripheral devices.,It connects to and controls peripheral devices
Chapter 4 - Bluetooth,13,Which of the following Topology does Bluetooth 4.0 support? Use SS,Star|Scatter Net|Mesh|Ring,Star;;Scatter Net
Chapter 4 - Bluetooth,14,BLE supports which kind of communication topology? Use StaMP,Point-to-Point|Star|Mesh|Bus,Point-to-Point;;Star;;Mesh
Chapter 4 - Bluetooth,15,"If the hopping time, assuming FHSS, is equal to 500μs, how many times would the signal hopped in one second? (you can select more than one option)",2000|1750|1500|2500|2250,2000;;1750;;1500
Chapter 4 - Bluetooth,16,What does 'Pairing' in BLE involve?,Exchanging security keys for secure communication.|Broadcasting data to multiple devices.|Adjusting the power level for optimal connection.|Connecting two devices for data transfer.|Short Answer Question,Exchanging security keys for secure communication.
Chapter 4 - Bluetooth,17,"If the number of carrier frequencies is equal to 25, how many outputs bits must be generated by the PRN generator? (Assume FHSS)",5,5
Chapter 4 - Bluetooth,18,Bluetooth is designed for short broadcast. There are forty 2-Mhz channels. How many of these channels are reserved for advertising? (enter numerical number),3,3
Chapter 4 - Bluetooth,19,If the bandwidth of the spread spectrum signal is 180MHz and the signal bandwidth is 15MHz. How many carrier frequencies are required for generating the spread spectrum signal?,12,12
Chapter 4 - Bluetooth,20,Assume Bob can send 300 bits in one slot while using Bluetooth. How many slots does it take to send 600 bits?,3,3
Chapter 4 - Bluetooth,21,Assume Bob can send 300 bits in one slot while using Bluetooth. How many slots does it take to send 1200 bits?,5|Chapter 5 - Thread,5
Chapter 5 - Thread,1,The full form of 6LoWPAN is …,IPv6 over Low-Power Wireless Personal Area Networks|6 Low Power Wide Personal Area Network|IPv6 over Low-Power Wide Area Networks|6 Low Power Wireless Personal Area Network,IPv6 over Low-Power Wireless Personal Area Networks
Chapter 5 - Thread,2,Which type of modulation is used in IEEE 802.15.4?,Direct Sequence Spread Spectrum (DSSS)|Frequency Shift Keying (FSK)|Phase-Shift Keying (PSK)|Orthogonal Frequency-Division Multiplexing (OFDM),Direct Sequence Spread Spectrum (DSSS)
Chapter 5 - Thread,3,6LowPAN technology sits on top of …,IEEE 802.15.4|Anything within IEEE 802|IEEE 802.15.11|IEEE 802.15.16,IEEE 802.15.4
Chapter 5 - Thread,4,6LowPAN uses traditional IPv6 as its networking layer.,FALSE,FALSE
Chapter 5 - Thread,5,Which of the following are not true about 6LowPAN?,6LoWPAN is based on IPv4 and IPv6 protocols for transmitting packets|None of the statements are false.|6LoWPAN is a networking layer protocol for Internet of Things|6LoWPAN has the capability of optional mesh routing in the data link layer,6LoWPAN is based on IPv4 and IPv6 protocols for transmitting packets
Chapter 5 - Thread,7,Which of the following is NOT true about Border Routers in a Thread Network?,There cannot be more than 3 border routers in a Thread Network|Border Router provide services to devices within the Thread Network only.|Border Router can provide connectivity from Thread Network to 802.11 networks.|A REED can be configured as a Border Router in the Thread Network.,There cannot be more than 3 border routers in a Thread Network
Chapter 5 - Thread,8,"If the 16-bit address assigned to a device in a 6LowPAN network is 4EA1, what is the IPv6 link local address?",FE80::4EA1|FE80:4EA1::0|FE80::1111:4EA1|PAN ID is unknown,FE80::4EA1
Chapter 5 - Thread,9,"If the 16-bit address assigned to a device in a 6LowPAN network is 4EA1, what is the IPv6 link local address? Assume the PAN ID is 5678.",FE80::5678:4EA1|FE80::4EA1|FE80:5678:4EA1::0|FE80:5678::4EA1,FE80::5678:4EA1
Chapter 5 - Thread,10,What does IEEE 802.15.4 primarily focus on?,Low-rate wireless personal area networks|Long-range wireless communication|High-bandwidth local area networking|High-speed internet connectivity,Low-rate wireless personal area networks
Chapter 5 - Thread,11,6LowPAN is the same as IEEE802.15.4,FALSE,FALSE
Chapter 5 - Thread,12,"The size of MTU for an 802.15.4 network is equal to 127 bytes. Of which, 802.15.4 header occupies 25 bytes, security option occupies 21 bytes, IPv6 and UDP compressed headers occupy 10 bytes. Given this situation, choose which of the following application layer payloads (only the size of the payload is shown) can be transmitted over the network. Assume Thread protocol is used for the higher layers.",All of the above|71|80|120|127,All of the above
Chapter 5 - Thread,13,Which of the following is true about Thread Network?,None of the above|IPV6 ULA address is used for mesh establishment and link maintenance.|Every Thread device is assigned only one Mesh local address.|Thread enables full mesh connectivity between all the devices in the network.|A thread network can employ more 10 routers in the network.,None of the above
Chapter 5 - Thread,14,IEEE 802.15.4 is a basis for which popular IoT communication protocol?,ZigBee|Thread|LTE|Bluetooth|WiFi,ZigBee;;Thread
Chapter 5 - Thread,15,Which of the following frames are required to be transmitted using CSMA/CA?,Data Frames|All the mentioned frames|Beacons|Acknowledgements,Data Frames
Chapter 5 - Thread,16,What kind of network topology is supported by IEEE 802.15.4?,Point-to-Point|Star|Mesh|Bus,Point-to-Point;;Star;;Mesh
Chapter 5 - Thread,17,IEEE 802.15.4 defines the operation of which network layers?,Physical (PHY)|Data Link Layer|Application Layer|Session Layer|Transport Layer|Network Layer,Physical (PHY);;Data Link Layer
Chapter 5 - Thread,18,"If the EUI64 address of a device is 62::1, what would be its link local IPv6 address. Assume 6LowPAN protocol.",FE80:0:0:0:22::1|FE80:0:0:0:66::1|None of answer mentioned|FE80:0:0:0:62::1|FE80:0:0:0:60::1,FE80:0:0:0:22::1
Chapter 5 - Thread,19,Which of the following is not a characteristic of Thread?,Devices can easily join the network|All the options are characteristics of Thread.|Thread can support large networks.|The range of the network is more than enough to cover a home.|There is no single point of failure.,Devices can easily join the network
Chapter 5 - Thread,20,Which of the following are used by IEEE 802.15.4?,Direct Sequence Spread Spectrum|CSMA with Collision Avoidance|CSMA with Collision Detection|Frequency Hopping Spread Spectrum,Direct Sequence Spread Spectrum;;CSMA with Collision Avoidance
Chapter 5 - Thread,21,Which of the following phases are required for a device to re-attach to a Thread Network? (You can select more than one),Attaching|Commissioning|Configuring|Discovery,Attaching
Chapter 5 - Thread,22,"Consider an IEEE 802.15.4 network using Beacon-enabled CSMA/CA. Given this, choose which of the following statements are false:",Contention Free Period uses slotted CSMA.|A part of the beacon interval is busy as coordinator requires it to send out MAC command packets.|Contention Access Period is reserved for real-time services.|Devices can sleep during the inactive interval of the beacon interval.|Contention Access Period uses slotted CSMA.,Contention Access Period is reserved for real-time services.;;Contention Free Period uses slotted CSMA.;;A part of the beacon interval is busy as coordinator requires it to send out MAC command packets.
Chapter 5 - Thread,23,Which of the following Full Thread Devices have routing capabilities? (You can select more than one),Router|Router Eligible End Device|Leader|PAN coordinator|Intermediate Routing Device|Full End Device|Short Answer Question,Router;;Router Eligible End Device;;Leader
Chapter 5 - Thread,23,"Assume that a user wants to transmit bit 1 using Direct Sequence Spread Spectrum. The user using ""XOR"" to generate the same. What is the transmitted signal (in binary) if the chipping sequence is 101011010011?",010100101100,010100101100
Chapter 5 - Thread,24,"Assume that a user wants to transmit bit 0 using Direct Sequence Spread Spectrum. The user using ""XOR"" to generate the same. What is the transmitted signal (in binary) if the chipping sequence is 011011000101?",011011000101,011011000101
Chapter 5 - Thread,25,"Assume Bob is using DSSS to transmit his data to Alice. Bob decided to use the chipping sequence 101101 to transmit his bits. If the length of the packet is 100 bits, how many bit will Bob actually transmit?",600,600
Chapter 5 - Thread,26,"Assume Bob is using DSSS to transmit his data to Alice. Bob decided to use the chipping sequence 10110100110 to transmit his bits. Bob transmitted 330 bits to Alice. Using this information, calculate how many actual bits represent Bob’s data?",30|Chapter 6 - ZigBee and Zwave,30
Chapter 6 - ZigBee and Zwave,1,What is the purpose of Zigbee communication?,All of the above|Industrial Control|Healthcare|Home Automation,All of the above
Chapter 6 - ZigBee and Zwave,2,Zigbee have a transport layer.,FALSE,FALSE
Chapter 6 - ZigBee and Zwave,3,Which of the following is not a feature of Zigbee? (choose the best one),Large bandwidth|Low Power Consumption|High Security|Real-time Communication,Large bandwidth
Chapter 6 - ZigBee and Zwave,4,Which frequency does Z-Wave operate on?,868 mHz|5 Ghz,868 mHz
Chapter 6 - ZigBee and Zwave,5,Which if the following do not contribute in routing in a ZigBee network?,zigBee end device|ZigBee Router|ZigBee Coordinator|ZigBee Master,zigBee end device
Chapter 6 - ZigBee and Zwave,6,Which network topology is not supported by ZigBee?,Bus|Mesh|Cluster Tree|Star,Bus
Chapter 6 - ZigBee and Zwave,7,Z-Wave is an implementation of a ZigBee protocol.,FALSE,FALSE
Chapter 6 - ZigBee and Zwave,8,What is the role of Zigbee coordinator in the Zigbee network?,Both|None|Controls the network|Communicates with other nodes,Both
Chapter 6 - ZigBee and Zwave,9,What is the role of Zigbee routers in the Zigbee network?,Act as a relay between other nodes|Controls the network|Both|None,Act as a relay between other nodes
Chapter 6 - ZigBee and Zwave,10,What is the role of Zigbee end devices in the Zigbee network?,Communicates with other nodes|Controls the network|Both|None,Communicates with other nodes
Chapter 6 - ZigBee and Zwave,11,"Which of the following is needed to be a ""ZigBee Compliant Product”",Application Profile|IEEE 802.15.4|ZigBee Stack|IEEE 802.11|Chapter 8 - LoRa,Application Profile;;IEEE 802.15.4;;ZigBee Stack
Chapter 8 - LoRa,1,LoRaWAN's network server is responsible for:,Processing and forwarding data to application servers|Managing the radio frequency spectrum|Directly interacting with end-user applications|Controlling the power output of end devices,Processing and forwarding data to application servers
Chapter 8 - LoRa,2,What is the main function of the Device EUI in LoRaWAN?,To identify the device uniquely on the network|To define the device's operating frequency|To specify the data rate|To encrypt data,To identify the device uniquely on the network
Chapter 8 - LoRa,3,What type of modulation is used in LoRa?,Chirp Spread Spectrum (CSS)|Amplitude Modulation (AM)|Phase-Shift Keying (PSK)|Frequency Shift Keying (FSK),Chirp Spread Spectrum (CSS)
Chapter 8 - LoRa,4,What does LoRa stand for?,Long range|Long Radio|Low Range|Long Resonance,Long range
Chapter 8 - LoRa,5,Link Budget …,"refers to the amount of loss that a data link (transmitter to receiver) can tolerate in order to operate properly.|refers to a connection between two entities.|refers to the amount of loss that a data link (transmitter to receiver) should have.|refers to the difference between the minimum expected power received at the receiver's end, and the receiver's sensitivity.",refers to the amount of loss that a data link (transmitter to receiver) can tolerate in order to operate properly.
Chapter 8 - LoRa,6,LoRa's spreading factor affects which of the following?,Data rate and range|Power consumption only|Modulation technique|Operating frequency,Data rate and range
Chapter 8 - LoRa,7,What does LoRaWAN stand for?,Long range Wide Area Network|Low Radiation Wireless Access Network|Low Range Wide Area Network|Logical Routing WAN,Long range Wide Area Network
Chapter 8 - LoRa,8,"In LoRa, which class does the following end device fall under: 

Battery powered actuators. Energy efficient with latency controlled downlink. Slotted communication synchronized with a beacon.",B|D|C|A,B
Chapter 8 - LoRa,9,"In LoRa, what does increasing the spreading factor (SF) do to the signal's range and data rate?",Increases range and decreases data rate|Decreases both range and data rate|Increases range and data rate|Decreases range and increases data rate,Increases range and decreases data rate
Chapter 8 - LoRa,10,LoRa modulation a variation of ....,Chirp Spread Spectrum|Chirp Spectrum Sector|Chord Space Spectrum|Chord Spread Spectrum,Chirp Spread Spectrum
Chapter 8 - LoRa,11,Which Sub-GHz ISM frequency does LoRa operate in Singapore?,923 Mhz|466 Mhz|868 Mhz,923 Mhz
Chapter 8 - LoRa,12,Which class of LoRaWAN is designed for bidirectional end-devices with scheduled receive slots?,Class B|Class C|Class D|Class A,Class B
Chapter 8 - LoRa,13,Which Class of LoRaWAN is best suited for applications requiring minimal latency?,Class C|Class B|Class D|Class A,Class C
Chapter 8 - LoRa,14,What is the main drawback of using LoRa for IoT applications?,Limited data rate|High power consumption|Long range|Short range,Limited data rate
Chapter 8 - LoRa,15,What is the main advantages of using LoRa for IoT applications?,Low power consumption|Long range|Low data rate|High data rate,Low power consumption;;Long range
Chapter 8 - LoRa,16,LoRaWAN modulation technique sits at which OSI layer?,DATALINK|PHYSICAL|Application|Session|Transport|Network|Presentation,DATALINK
Chapter 8 - LoRa,17,LoRa is primarily used for?,"Long-range, low-power communication|High-speed data transmission|Audio and video transmission|Short-range communication","Long-range, low-power communication"
Chapter 8 - LoRa,18,LoRa modulation technique sits at which OSI layer?,PHYSICAL|Application|Datalink|Session|Transport|Network|Presentation|Chapter 9 - Wireless Mesh,PHYSICAL
Chapter 9 - Wireless Mesh,1,What is a disadvantage of simple flooding in mesh networks?,It generates a large number of redundant messages |Lack of data security|It is too simple to implement|It generates a large number of redundant messages|Maximum use of battery power,It generates a large number of redundant messages 
Chapter 9 - Wireless Mesh,2,"In a distributed mesh network, how are routes between nodes established?","Nodes communicate to determine adjacency and routes |Through a central authority|All communication goes through a master node|Using a single, static route",Nodes communicate to determine adjacency and routes 
Chapter 9 - Wireless Mesh,3,What does Adaptive Flooding adjust based on?,Network conditions and resource availability |The time of day|Static configurations|Number of connected nodes,Network conditions and resource availability 
Chapter 9 - Wireless Mesh,5,Which of the following is not a PROACTIVE mesh routing algorithm? Use DyAT,Wireless Routing Protocol|Better Approach To Mobile Adhoc Networking|Optimized Link State Routing|Destination-Sequenced Distance Vector|Dynamic Source Routing |Ad hoc On-Demand Distance Vector |Temporally-Ordered Routing Algorithm ,Dynamic Source Routing ;;Ad hoc On-Demand Distance Vector ;;Temporally-Ordered Routing Algorithm 
Chapter 9 - Wireless Mesh,6,Which of the following is not a REACTIVE mesh routing algorithm? Use DeWOB,"Ad hoc On-Demand Distance Vector (AODV) is a reactive protocol, not proactive|Dynamic Source Routing (DSR) is a reactive protocol, not proactive|Temporally-Ordered Routing Algorithm (TORA) is generally classified as a reactive protocol|Destination-Sequenced Distance Vector |Better Approach To Mobile Adhoc Networking |Optimized Link State Routing |Wireless Routing Protocol ",Destination-Sequenced Distance Vector ;;Better Approach To Mobile Adhoc Networking ;;Optimized Link State Routing ;;Wireless Routing Protocol 
Chapter 9 - Wireless Mesh,7,Which characteristic is not a feature of wireless mesh networking?,Centralized architecture |Scalability|Self-healing|Efficient data routing,Centralized architecture 
Chapter 9 - Wireless Mesh,8,Optimized Link State Routing Protocol uses triggered updates of their routing table whenever there is a topology change.,False ,False 
Chapter 9 - Wireless Mesh,9,The Optimized Link State Routing (OLSR) protocol uses ______ to optimize transmission.,Single point relays|Dual point relays|No relays|Multipoint relays ,Multipoint relays 
Chapter 9 - Wireless Mesh,10,Which is not a challenge mentioned for wireless mesh networks?,Unlimited bandwidth |Inteference and Reliability|Timing and Sybnchronisation|Bandwidth allocation,Unlimited bandwidth 
Chapter 9 - Wireless Mesh,11,What is a typical method to prevent malicious nodes from joining a wireless mesh network?,Authentication |Redundancy|Decreasing signal strength|Ignoring new nodes,Authentication 
Chapter 9 - Wireless Mesh,12,Dynamic Source Routing have multiple routes per destination,True ,True 
Chapter 9 - Wireless Mesh,13,Which flooding algorithm divides the network into subnets for routing?,Reduced Flooding |Selective Flooding|Adaptive Flooding|Simple Flooding,Reduced Flooding 
